frame,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
0,961,257,-1319,984,219,-1254,998,219,-1254,1013,219,-1255,933,225,-1265,916,229,-1266,900,234,-1266,1030,242,-824,883,260,-867,991,303,-1158,932,308,-1171,1160,515,-543,779,533,-609,1206,821,-415,760,854,-547,1208,1063,-763,793,1085,-951,1223,1144,-881,789,1174,-1072,1203,1152,-971,822,1160,-1181,1193,1119,-810,830,1123,-1003,1105,1051,-29,886,1059,31,1096,1450,98,866,1457,176,1103,1773,931,888,1784,853,1104,1821,983,892,1832,903,1089,1893,477,920,1904,355
1,961,258,-1388,985,220,-1321,998,219,-1322,1013,219,-1322,933,226,-1333,916,229,-1334,900,234,-1334,1031,241,-862,883,260,-907,992,304,-1213,933,309,-1227,1161,514,-553,779,531,-609,1207,819,-414,754,843,-545,1214,1063,-783,792,1077,-978,1236,1144,-909,786,1164,-1106,1213,1152,-1012,820,1152,-1221,1201,1119,-836,830,1110,-1032,1106,1052,-41,888,1059,42,1102,1458,7,868,1460,139,1107,1797,850,891,1804,800,1109,1843,901,895,1853,846,1093,1920,370,922,1921,271
2,961,258,-1412,985,220,-1347,998,220,-1347,1013,220,-1348,933,226,-1357,916,229,-1358,900,234,-1359,1031,241,-886,883,259,-924,992,304,-1236,933,310,-1248,1163,514,-565,780,529,-613,1208,819,-414,752,838,-545,1218,1064,-782,792,1075,-981,1241,1145,-907,786,1161,-1109,1218,1153,-1010,820,1150,-1224,1205,1120,-835,830,1107,-1036,1107,1053,-48,889,1059,49,1105,1465,5,868,1465,140,1109,1812,837,892,1818,795,1110,1859,887,896,1867,841,1094,1935,350,923,1934,261
3,961,258,-1432,985,220,-1368,998,220,-1369,1013,220,-1369,933,226,-1379,916,229,-1379,900,234,-1380,1031,241,-907,883,258,-945,992,304,-1256,934,310,-1268,1163,513,-581,781,528,-628,1209,819,-422,749,835,-551,1221,1065,-799,791,1074,-997,1244,1145,-926,784,1160,-1125,1221,1153,-1032,819,1150,-1242,1208,1120,-853,830,1107,-1052,1108,1054,-50,890,1060,51,1105,1470,7,868,1469,139,1110,1819,846,892,1824,799,1111,1865,897,897,1873,846,1095,1941,362,923,1941,266
4,962,258,-1421,985,220,-1356,998,220,-1356,1013,220,-1357,933,226,-1368,916,229,-1368,901,234,-1369,1031,241,-897,883,256,-942,992,304,-1246,934,310,-1259,1163,513,-577,781,527,-634,1210,819,-416,747,834,-554,1223,1065,-797,790,1074,-997,1246,1145,-922,783,1161,-1124,1223,1152,-1024,819,1150,-1239,1210,1121,-848,830,1108,-1051,1108,1055,-49,891,1061,50,1106,1475,12,868,1474,131,1111,1824,852,892,1830,788,1112,1870,903,897,1878,834,1096,1946,375,923,1947,258
5,962,258,-1407,985,220,-1342,998,221,-1343,1013,221,-1343,933,226,-1354,916,229,-1355,901,234,-1355,1031,241,-889,883,256,-933,992,305,-1235,934,311,-1249,1164,513,-574,781,527,-633,1211,819,-403,746,834,-548,1226,1066,-780,790,1076,-994,1248,1146,-906,782,1164,-1122,1225,1152,-1013,818,1153,-1238,1212,1121,-834,829,1111,-1048,1108,1057,-48,891,1063,50,1106,1478,10,867,1477,128,1111,1827,849,892,1833,783,1112,1873,901,897,1881,829,1096,1950,378,923,1951,258
6,962,258,-1405,985,221,-1339,998,221,-1339,1013,222,-1340,933,226,-1350,916,229,-1350,901,234,-1351,1031,241,-885,883,255,-930,992,305,-1233,934,311,-1248,1164,513,-559,781,527,-631,1212,818,-382,746,834,-543,1227,1065,-761,789,1079,-989,1249,1145,-884,781,1169,-1118,1226,1151,-995,817,1157,-1236,1213,1120,-816,829,1114,-1043,1108,1057,-48,891,1064,49,1107,1480,13,867,1479,125,1112,1828,855,892,1833,784,1112,1874,907,897,1882,831,1096,1951,385,923,1952,262
7,962,258,-1352,985,221,-1288,998,221,-1288,1013,222,-1288,933,226,-1299,916,229,-1300,900,233,-1300,1031,241,-838,883,255,-884,992,305,-1181,934,311,-1195,1164,513,-519,781,527,-591,1212,818,-346,746,834,-501,1228,1063,-723,788,1081,-937,1250,1145,-843,780,1172,-1063,1227,1148,-953,815,1160,-1179,1214,1118,-777,828,1119,-991,1108,1059,-48,891,1065,49,1107,1481,3,867,1481,112,1112,1830,840,892,1835,759,1113,1876,891,897,1883,804,1097,1952,375,924,1953,239
8,961,258,-1334,985,221,-1271,998,221,-1271,1013,222,-1272,933,226,-1283,916,229,-1283,900,233,-1284,1031,241,-825,883,255,-871,992,305,-1165,934,312,-1178,1164,513,-505,781,527,-584,1213,818,-329,746,834,-496,1229,1061,-698,788,1083,-926,1251,1144,-815,779,1174,-1051,1228,1146,-925,814,1162,-1166,1214,1116,-753,827,1123,-979,1108,1060,-46,891,1066,47,1107,1483,7,865,1483,105,1112,1833,834,891,1838,740,1113,1879,885,897,1886,785,1096,1955,370,923,1957,220
9,961,259,-1317,985,222,-1254,998,222,-1254,1013,223,-1254,933,226,-1265,916,229,-1266,900,233,-1266,1031,241,-810,883,255,-854,991,305,-1148,933,312,-1161,1164,513,-495,781,527,-568,1213,818,-327,746,834,-482,1229,1059,-701,788,1083,-912,1251,1142,-818,779,1174,-1037,1228,1143,-928,813,1162,-1152,1214,1112,-755,826,1123,-966,1108,1060,-46,891,1067,47,1107,1484,1,865,1483,95,1112,1835,812,891,1840,718,1113,1881,862,897,1889,761,1095,1957,346,923,1959,195
